Office,التجهيز,Subscription,Breaker,consumption,x,y
3420,5001358151,33060164520,400,192808.35,38.7396814,29.67588738
3420,5001303116,33060141982,500,174931,39.64412364,29.78675377
3420,5007964719,33060176244,500,168726,39.50860577,29.84211107
3420,5009405107,33060213983,400,153047.2,39.51416525,29.91482941
3440,5012041381,3120351683,500,137632,38.141,30.3961
3420,5001333110,33060107381,600,135650.4,38.86600338,29.76470701
3420,5001327294,33060058920,500,122464,39.54604916,29.82106111
3420,5001317489,33060130648,400,118547.2,39.6943,29.8049
3420,5001294605,33060125405,400,117580.8,39.4171,29.853
3440,5008348329,33120211495,70,113874,38.1349688,30.3683516
3440,5009215341,33120242508,300,112121.4,38.16615819,30.61319992
3420,5001333020,33060106473,500,110560,39.4954218,29.89898764
3420,5012094108,3060278629,500,108240,39.87607956,29.81830621
3420,5001317141,33060145284,400,104322.4,39.69571518,29.7671553
3440,5001427069,33120162926,500,96337.2,38.13142168,30.41216154
3440,5001376661,33120139445,500,95659,38.09156886,30.65640481
3420,5001299471,33060111212,300,95370,39.5507106,29.8669937
3420,5001328550,33060104183,400,94815.2,39.66135697,29.79342095
3420,5011616557,3060264472,1000,94568,39.45721346,29.83942972
3420,5001308166,33060158809,400,92546.4,39.5076,29.8895
3420,5001333117,33060107452,600,92326.8,39.52250613,29.87851372
3420,5010972104,3060246581,300,91724.26,39.47041377,29.86614831
3420,5001294084,33060109887,300,90249.6,39.51158274,29.90838465
3420,5001299238,33060156761,500,87519,39.5507,29.8866
3420,5001302677,33060141481,300,85277.4,39.49119741,29.89947252
3440,5011342232,3120328498,600,83328,38.3508457,30.38000697
3420,5001279853,33060063142,400,83321.6,39.6767,29.7871
3420,5001325518,33060133201,300,82781.4,39.4665,29.8981
3420,5007929693,33060176057,500,80025,39.67912632,29.81952342
3420,5001321126,33060116550,400,79633.6,39.68249312,29.85605485
3440,5011891269,3120345096,500,78442,38.2044,30.3301
3410,5010153369,3010987781,300,77532,40.1816,30.2746
3440,5001353534,33120184923,400,77416.8,38.14291688,30.38431453
3420,5011141828,3060249618,500,76813,39.54577587,29.8528455
3420,5001283628,33060138673,300,74461.2,39.51781958,29.83581222
3440,5008939827,33120233198,400,73814.4,38.12188,30.35777
3440,5011756519,3120343171,300,72729,38.11722796,30.38405576
3420,5001332979,33060106061,300,71593.2,39.7897399,29.77863356
3420,5001299553,33060126331,300,69197.4,39.7989763,29.77214764
3420,5001289480,33060124364,300,67150.2,39.69522291,29.77720974
3420,5001307747,33060142685,400,66120,39.46326529,29.91335165
3420,5011517141,3060260606,250,65723.5,39.48469329,29.94569283
3440,5001427545,33120146753,150,65395.2,38.13248361,30.3764087
3440,5011710574,3120334047,500,65156,38.14140657,30.43269867
3420,5001324872,33060117486,300,64912.2,39.56122634,29.81757805
3440,5011758191,3120336140,300,64685.4,38.1316,30.3804
3420,5001288962,33060108905,400,64524,39.66257325,29.79771254
3440,5008627352,33120223182,300,64431.6,38.15029869,30.39128761
3420,5010706084,3060241253,250,63585,39.6689,29.8878
3440,5009278349,33120244807,300,62777.4,38.21092,30.41699
3420,5011255703,3060253540,300,62361,39.48329937,29.93831261
3440,5012023929,3120349961,300,61978.2,38.4898,30.3808
3420,5010105832,3060226328,300,61697.4,39.682,29.8776
3420,5001329852,33060089022,400,61248.8,39.59801399,29.89297008
3420,5001331243,33060075930,400,60700.8,39.5755,29.8794
3420,5001321149,33060116587,400,59848,39.5964,29.8475
3420,5001330419,33060043721,400,59416.8,39.97,29.7869
3420,5001316688,33060114869,300,58510.8,39.49642151,29.93425975
3420,5001329990,33060089121,300,57415.8,39.5675,29.8177
3420,5001332989,33060106160,300,56850.6,39.47532,29.87306
3420,5001313220,33060144311,300,56622,39.6396,29.833
3420,5001366552,33060165803,500,56584,39.46764541,29.84841398
3440,5011151867,3120321719,200,56259.6,38.71788668,30.38923332
3420,5001322964,33060072482,400,56248,39.5731134,29.81295542
3420,5001323770,33060101468,300,56215.8,39.58552,29.87963
3420,5001294305,33060110091,300,55956.6,39.48906819,29.92290658
3420,5011216396,3060252201,400,52963.2,39.63947494,29.83295105
3420,5001320695,33060130890,500,52918,39.53985369,29.87688228
3420,5009392390,33060211826,400,52599.2,39.7162,29.7865
3420,5011368669,3060255965,400,50762.4,39.64868269,29.80717509
3440,5008081593,33120200295,400,50387.2,38.14050677,30.38439738
3440,5001389787,33120173161,200,49329.6,38.29746014,30.42037811
3440,5009691869,3120258464,200,49270.8,38.71657209,30.33329799
3420,5001291058,33060080420,250,47880,39.50989843,29.87632251
3440,5004167503,33120191051,300,47775.6,38.08215549,30.56506497
3420,5001303250,33060127132,200,47610.8,39.60696464,29.80965888
3440,5012092636,3120352733,300,47543.4,38.49688635,30.41467357
3420,5001308257,33060113253,200,47329.6,39.50715585,29.87160116
3440,5001340285,33120150747,300,47046,38.27458207,30.44808713
3440,5009953032,3120268120,400,46265.6,38.12362192,30.44529719
3420,5001329509,33060134478,300,45103.8,39.51491204,29.92231727
3420,5011458748,3060258321,400,44814.4,39.64423078,29.80563667
3420,5001330000,33060089130,400,44327.2,39.60753363,29.91513062
3410,5008178535,33010704651,600,43933.2,40.30331178,29.87682211
3420,5008138019,33060181718,200,43909.6,39.24469971,29.90667226
3420,5001296328,33060081285,300,43799.4,39.5832,29.9069
3420,5001326454,33060058222,300,43728,39.58768568,29.80523641
3420,5009301332,33060211067,300,43291.8,39.5624,29.8715
3420,5001328608,33060104352,300,42448.8,39.48071403,29.90337203
3420,5001302930,33060141786,200,42236.8,39.4574,29.9055
3420,5008356918,33060187702,200,42217.2,39.716907,29.83141321
3420,5001301619,33060096546,200,41986,39.5205,29.8578
3420,5001320498,33060101136,200,41876.4,39.5215,29.8695
3420,5001334293,33060092181,200,41068.4,39.7126,29.8289
3420,5001333979,33060091497,200,40992.4,39.55473032,29.8412836
3420,5001334046,33060091620,300,40612.8,39.7384,29.8399
3440,5010915680,3120305751,150,40611.52,38.58274702,30.43436223
3420,5001299533,33060126313,300,40054.2,39.47775268,29.90382529
3420,5011255676,3060253666,200,40050,39.47693658,29.94473975
3440,5009267796,33120244665,150,39881.61,38.20032226,30.47468662
3440,5001423568,33120162640,150,39659.82,38.34677227,30.41604778
3420,5001287120,33060079821,400,39228,39.604,29.8704
3440,5001419023,33120177212,400,38863.2,38.04960877,30.60472203
3440,5011425761,3120330075,150,38847.7,38.7031325,30.32574006
3420,5009568382,3060216976,300,38647.2,39.5442,29.8392
3420,5010164948,3060227451,300,38539.8,39.4799,29.9303
3420,5001289418,33060124300,500,38379,39.59388878,29.86416608
3440,5008609301,33120222309,160,37632.8,38.70493293,30.35010972
3430,5010597495,3110503692,200,37164.4,37.7341,31.0021
3420,5001327159,33060058812,160,37003.96,39.5798175,29.84503641
3440,5001361554,33120056807,300,36994.2,38.28044745,30.45776874
3420,5001344868,33060162768,400,36974.4,39.489,29.8359
3440,5001348662,33120119219,200,36757.6,38.25066717,30.53355237
3440,5008711087,33120225632,150,36707.13,38.1416,30.506
3420,5010854911,3060243839,300,36605.4,39.5537,29.8356
3420,5001317858,33060099898,160,36600.16,39.59983236,29.8315223
3440,5001393961,33120061235,100,36423.6,38.3333918,30.46152915
3410,5008005561,33010684316,200,36197.2,40.31967098,30.12240434
3430,5011289718,3110540767,400,36192,37.6551,31.1031
3440,5008196109,33120204928,300,36175.8,38.1272,30.4765
3440,5009532450,3120253655,150,35928.36,38.71914608,30.33911151
3420,5001328712,33060133452,300,35648.4,39.4809,29.8541
3440,5008381781,33120211922,200,35255.2,38.32126373,30.41251879
3420,5010617307,3060239774,200,35168.8,39.54179598,29.86222382
3420,5011413935,3060257727,200,34972,39.7763,29.925
3440,5012010657,3120349916,300,34947,38.0627,30.5856
3420,5001301591,33060096528,200,34858.8,39.51780279,29.86077774
3440,5001853400,33120186347,150,34790.76,38.72452238,30.3268411
3420,5001323933,33060101673,300,34722,39.49885489,29.887164
3440,5001396812,33120093678,300,34193.4,38.21694615,30.43341907
3440,5011909835,3120346020,150,33914.33,38.0607,30.6269
3420,5010334281,3060232881,200,33773.2,39.53435009,29.85717262
3420,5001284256,33060079287,200,33373.2,39.59226974,29.80525261
3440,5011269442,3120321129,300,33090.6,38.31642531,30.40873197
3420,5001335466,33060153320,200,32982,39.5179,29.8581
3420,5001288753,33060138771,300,32947.8,39.47364,29.90854
3420,5001329082,33060133926,500,32909,39.70358268,29.76415613
3440,5010036179,3120272436,150,32614.67,38.35087,30.41694
3420,5001876441,33060173402,200,32530.8,39.5597167,29.83671324
3440,5011584155,3120333578,150,32477.38,38.74499688,30.32968463
3420,5001332207,33060135377,300,32272.2,39.4226,29.8537
3440,5010242834,3120279974,150,32222.23,37.99240242,30.66424025
3440,5009609349,3120254151,150,32211.79,38.74647516,30.31036086
3420,5001333797,33060091156,200,32123.6,39.74022817,29.8564554
3440,5001875788,33120190617,150,32004.41,38.1381193,30.46230281
3420,5001320751,33060130961,200,31926,39.52764191,29.85897904
3420,5001334997,33060136543,200,31666.8,39.48899611,29.93767244
3440,5009943284,3120268040,250,31551.5,38.35895756,30.4336622
3420,5001294906,33060094828,200,31541.2,39.53146918,29.86127965
3410,5009083645,33010794381,600,31429.2,40.15472551,29.99288705
3420,5010814964,3060243070,400,31350.4,39.5562,29.9029
3440,5011915200,3120345864,600,31128,38.2272,30.3894
3440,5001340180,33120166827,160,30991.23,38.14752214,30.48297954
