Office ID,MANUFACTURER,MANFACTURINGYEAR,Name,Lat,Lon,Substation_No,Serial_No,Voltage,Capacity,FUNCTIONAL_LOC
Domah Al-Jundal Office مكتب خدمات دومة الجندل,<Null>,<Null>,228021,29.82775221,39.84770423,228021,<Null>,<Null>,<Null>,4300-JDS-228021
Domah Al-Jundal Office مكتب خدمات دومة الجندل,<Null>,<Null>,212021,29.81091348,39.84225684,212021,<Null>,<Null>,<Null>,4300-JDS-212021
Domah Al-Jundal Office مكتب خدمات دومة الجندل,<Null>,<Null>,233047,29.77720976,39.95641225,233047,<Null>,<Null>,<Null>,4300-JDS-233047
Domah Al-Jundal Office مكتب خدمات دومة الجندل,<Null>,<Null>,270145,29.88567199,39.31202839,270145,<Null>,<Null>,<Null>,4300-JDS-270145
Domah Al-Jundal Office مكتب خدمات دومة الجندل,<Null>,<Null>,211069,29.77507947,39.82904569,211069,<Null>,<Null>,<Null>,4300-JDS-211069
Domah Al-Jundal Office مكتب خدمات دومة الجندل,<Null>,<Null>,250414,29.87714236,39.57542957,250414,<Null>,<Null>,<Null>,4300-JDS-250414
Domah Al-Jundal Office مكتب خدمات دومة الجندل,<Null>,<Null>,250080,29.82321347,39.63780965,250080,<Null>,<Null>,<Null>,4300-JDS-250080
Domah Al-Jundal Office مكتب خدمات دومة الجندل,<Null>,<Null>,260290,29.80474955,39.6682815,260290,<Null>,<Null>,<Null>,4300-JDS-260290
Al-Qurayyat Office مكتب خدمات القريات,<Null>,<Null>,608258,31.30432374,37.34258697,608258,<Null>,<Null>,<Null>,4300-JQS-608258
Al-Qurayyat Office مكتب خدمات القريات,<Null>,<Null>,605210,31.31683778,37.31726609,605210,<Null>,<Null>,<Null>,4300-JQS-605210
Al-Qurayyat Office مكتب خدمات القريات,<Null>,<Null>,604094,31.29225783,37.3442442,604094,<Null>,<Null>,<Null>,4300-JQS-604094
Al-Qurayyat Office مكتب خدمات القريات,<Null>,<Null>,604128,31.28967957,37.37107307,604128,<Null>,<Null>,<Null>,4300-JQS-604128
Al-Qurayyat Office مكتب خدمات القريات,<Null>,<Null>,622126,31.28436929,37.42668881,622126,<Null>,<Null>,<Null>,4300-JQS-622126
Al-Qurayyat Office مكتب خدمات القريات,<Null>,<Null>,604494,31.29954665,37.39911075,604494,<Null>,<Null>,<Null>,4300-JQS-604494
Al-Qurayyat Office مكتب خدمات القريات,<Null>,<Null>,622134,31.29621214,37.41458675,622134,<Null>,<Null>,200,4300-JQS-622134
Al-Qurayyat Office مكتب خدمات القريات,<Null>,<Null>,623090,31.35039411,37.40535044,623090,<Null>,<Null>,<Null>,4300-JQS-623090
Al-Qurayyat Office مكتب خدمات القريات,<Null>,<Null>,620019,31.38123121,37.30616587,620019,<Null>,<Null>,<Null>,4300-JQS-620019
Al-Qurayyat Office مكتب خدمات القريات,<Null>,<Null>,620022,31.36195304,37.33723694,620022,<Null>,<Null>,<Null>,4300-JQS-620022
Al-Qurayyat Office مكتب خدمات القريات,<Null>,<Null>,620022,31.36554487,37.34030108,620022,<Null>,<Null>,<Null>,4300-JQS-620022
Al-Qurayyat Office مكتب خدمات القريات,<Null>,<Null>,602228,31.33204305,37.34474354,602228,<Null>,<Null>,<Null>,4300-JQS-602228
Al-Qurayyat Office مكتب خدمات القريات,<Null>,<Null>,602153,31.33337915,37.34991628,602153,<Null>,<Null>,<Null>,4300-JQS-602153
Al-Qurayyat Office مكتب خدمات القريات,<Null>,<Null>,602459,31.32612731,37.34235303,602459,<Null>,<Null>,<Null>,4300-JQS-602459
Al-Qurayyat Office مكتب خدمات القريات,<Null>,<Null>,603096,31.33488859,37.35830288,603096,<Null>,<Null>,<Null>,4300-JQS-603096
Al-Qurayyat Office مكتب خدمات القريات,<Null>,<Null>,603236,31.33914365,37.36078427,603236,<Null>,<Null>,<Null>,4300-JQS-603236
Al-Qurayyat Office مكتب خدمات القريات,<Null>,<Null>,614071,31.2223965,37.53138068,614071,<Null>,<Null>,200,4300-JQS-614071
Al-Qurayyat Office مكتب خدمات القريات,<Null>,<Null>,613006,31.26576302,37.53108515,613006,<Null>,<Null>,<Null>,4300-JQS-613006
Al-Qurayyat Office مكتب خدمات القريات,<Null>,<Null>,615221,31.07467863,37.64158626,615221,<Null>,<Null>,<Null>,4300-JQS-615221
Al-Qurayyat Office مكتب خدمات القريات,<Null>,<Null>,601202,31.36206444,37.31317751,601202,<Null>,<Null>,<Null>,4300-JQS-601202
Al-Qurayyat Office مكتب خدمات القريات,<Null>,<Null>,601351,31.35035126,37.32300604,601351,<Null>,<Null>,<Null>,4300-JQS-601351
Al-Qurayyat Office مكتب خدمات القريات,<Null>,<Null>,613048,31.24749773,37.44290478,613048,<Null>,<Null>,<Null>,4300-JQS-613048
Al-Qurayyat Office مكتب خدمات القريات,<Null>,<Null>,613133,31.25597994,37.51968575,613133,<Null>,<Null>,<Null>,4300-JQS-613133
Al-Qurayyat Office مكتب خدمات القريات,<Null>,<Null>,624042,31.40047865,37.25936344,624042,<Null>,<Null>,<Null>,4300-JQS-624042
Al-Qurayyat Office مكتب خدمات القريات,<Null>,<Null>,624025,31.39647663,37.25323031,624025,<Null>,<Null>,<Null>,4300-JQS-624025
Al-Qurayyat Office مكتب خدمات القريات,<Null>,<Null>,611041,31.37186589,37.28929354,611041,<Null>,1000KVA,<Null>,4300-JQS-611041
Tabarjul Office مكتب خدمات طبرجل,<Null>,<Null>,640369,30.49265007,38.22068016,640369,<Null>,<Null>,<Null>,4300-JTS-640369
Tabarjul Office مكتب خدمات طبرجل,<Null>,<Null>,652011,30.45784437,38.28046857,652011,<Null>,<Null>,<Null>,4300-JTS-652011
Tabarjul Office مكتب خدمات طبرجل,<Null>,<Null>,641298,30.32927436,38.04390092,641298,<Null>,<Null>,<Null>,4300-JTS-641298
Tabarjul Office مكتب خدمات طبرجل,<Null>,<Null>,648386,30.55537717,38.17070482,648386,<Null>,<Null>,<Null>,4300-JTS-648386
Tabarjul Office مكتب خدمات طبرجل,<Null>,<Null>,648281,30.55392241,38.18972369,648281,<Null>,<Null>,<Null>,4300-JTS-648281
Tabarjul Office مكتب خدمات طبرجل,<Null>,<Null>,651100,30.51026716,38.29021241,651100,<Null>,<Null>,<Null>,4300-JTS-651100
Tabarjul Office مكتب خدمات طبرجل,<Null>,<Null>,653016,30.4348407,38.40343792,653016,<Null>,<Null>,<Null>,4300-JTS-653016
Tabarjul Office مكتب خدمات طبرجل,<Null>,<Null>,653037,30.4142833,38.39671112,653037,<Null>,<Null>,<Null>,4300-JTS-653037
Tabarjul Office مكتب خدمات طبرجل,<Null>,<Null>,653070,30.413379,38.43831428,653070,<Null>,<Null>,<Null>,4300-JTS-653070
Tabarjul Office مكتب خدمات طبرجل,<Null>,<Null>,654129,30.33285804,38.71711505,654129,<Null>,<Null>,<Null>,4300-JTS-654129
Tabarjul Office مكتب خدمات طبرجل,<Null>,<Null>,654059,30.28636507,38.70514472,654059,<Null>,<Null>,<Null>,4300-JTS-654059
Tabarjul Office مكتب خدمات طبرجل,<Null>,<Null>,656260,30.58093973,38.15711417,656260,<Null>,<Null>,<Null>,4300-JTS-656260
Tabarjul Office مكتب خدمات طبرجل,<Null>,<Null>,657128,30.66855101,38.1170638,657128,<Null>,<Null>,<Null>,4300-JTS-657128
Tabarjul Office مكتب خدمات طبرجل,<Null>,<Null>,656413,30.61270769,38.16571429,656413,<Null>,<Null>,<Null>,4300-JTS-656413
Tabarjul Office مكتب خدمات طبرجل,<Null>,<Null>,658009,30.7419735,37.96712016,658009,<Null>,<Null>,<Null>,4300-JTS-658009
Tabarjul Office مكتب خدمات طبرجل,<Null>,<Null>,641477,30.49571962,38.14332362,641477,<Null>,<Null>,<Null>,4300-JTS-641477
Tabarjul Office مكتب خدمات طبرجل,<Null>,<Null>,646063,30.49864163,38.2102854,646063,<Null>,<Null>,<Null>,4300-JTS-646063
Tabarjul Office مكتب خدمات طبرجل,<Null>,<Null>,643003,30.49351549,38.20589441,643003,<Null>,<Null>,<Null>,4300-JTS-643003
Tabarjul Office مكتب خدمات طبرجل,<Null>,<Null>,643005,30.49518042,38.20884824,643005,<Null>,<Null>,<Null>,4300-JTS-643005
Tabarjul Office مكتب خدمات طبرجل,<Null>,<Null>,640188,30.42399629,38.21845806,640188,<Null>,<Null>,<Null>,4300-JTS-640188
Tabarjul Office مكتب خدمات طبرجل,<Null>,<Null>,658196,30.72652814,37.9636561,658196,<Null>,<Null>,<Null>,4300-JTS-658196
Tabarjul Office مكتب خدمات طبرجل,<Null>,<Null>,658129,30.71688048,37.96187757,658129,<Null>,<Null>,<Null>,4300-JTS-658129
Tabarjul Office مكتب خدمات طبرجل,<Null>,<Null>,656017,30.5854193,38.09097238,656017,<Null>,<Null>,<Null>,4300-JTS-656017
Tabarjul Office مكتب خدمات طبرجل,<Null>,<Null>,656005,30.5621343,38.13109233,656005,<Null>,<Null>,<Null>,4300-JTS-656005
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,116035,29.9930156,40.24982621,116035,<Null>,<Null>,<Null>,4300-JSS-116035
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,115037,29.98384491,40.23019931,115037,<Null>,<Null>,<Null>,4300-JSS-115037
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,115096,29.98423697,40.22394887,115096,<Null>,<Null>,<Null>,4300-JSS-115096
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,182261,30.13025183,40.37964816,182261,<Null>,13.8,<Null>,4300-JSS-182261
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,117065,30.04626005,40.28006458,117065,<Null>,<Null>,200,4300-JSS-117065
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,182289,30.11532858,40.3927728,182289,<Null>,<Null>,<Null>,4300-JSS-182289
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,133073,29.91370758,40.1925885,133073,<Null>,<Null>,<Null>,4300-JSS-133073
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,134156,29.91485418,40.18856925,134156,<Null>,<Null>,<Null>,4300-JSS-134156
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,134160,29.91980502,40.19006435,134160,<Null>,<Null>,<Null>,4300-JSS-134160
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,134151,29.92669342,40.19116139,134151,<Null>,<Null>,<Null>,4300-JSS-134151
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,134159,29.92075471,40.18354672,134159,<Null>,<Null>,<Null>,4300-JSS-134159
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,110104,29.97527882,40.18536007,110104,<Null>,<Null>,<Null>,4300-JSS-110104
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,112170,29.98617724,40.16894409,112170,<Null>,<Null>,<Null>,4300-JSS-112170
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,M.RMU-169305-169340-169341,29.78658781,40.05495901,M.RMU-169305-169340-169341,<Null>,<Null>,<Null>,4300-JSS
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,112587,29.97813459,40.13309381,112587,<Null>,<Null>,<Null>,4300-JSS-112587
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,166101,29.83546587,40.27376944,166101,<Null>,<Null>,<Null>,4300-JSS-166101
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,166113,29.82755701,40.23070061,166113,<Null>,<Null>,<Null>,4300-JSS-166113
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,107065,29.9855262,40.2196562,107065,<Null>,<Null>,<Null>,4300-JSS-107065
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,111667,30.02824236,40.19217316,111667,<Null>,<Null>,<Null>,4300-JSS-111667
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,109116,29.98402974,40.19471603,109116,<Null>,<Null>,<Null>,4300-JSS-109116
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,182689,30.03960487,40.39437476,182689,<Null>,<Null>,<Null>,4300-JSS-182689
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,191133,29.80235069,40.44830232,191133,<Null>,<Null>,<Null>,4300-JSS-191133
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,123104,29.96213017,40.21417623,123104,<Null>,<Null>,<Null>,4300-JSS-123104
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,182689,30.09403616,40.3993482,182689,<Null>,<Null>,<Null>,4300-JSS-182689
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,109121,29.97871261,40.18680937,109121,<Null>,<Null>,<Null>,4300-JSS-109121
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,166330,29.87683999,40.39004711,166330,<Null>,<Null>,<Null>,4300-JSS-166330
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,182675,30.04456502,40.44443832,182675,<Null>,<Null>,<Null>,4300-JSS-182675
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,134167,29.90546094,40.17166991,134167,<Null>,<Null>,<Null>,4300-JSS-134167
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,181468,30.17290004,40.23174528,181468,<Null>,<Null>,<Null>,4300-JSS-181468
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,182689,30.08654771,40.19784424,182689,<Null>,<Null>,<Null>,4300-JSS-182689
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,181472,30.17101571,40.27463652,181472,<Null>,<Null>,<Null>,4300-JSS-181472
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,112625,29.96225007,40.03565889,112625,<Null>,<Null>,<Null>,4300-JSS-112625
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,112161,29.92805946,40.07372701,112161,<Null>,<Null>,<Null>,4300-JSS-112161
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,116208,30.00831394,40.26338098,116208,<Null>,<Null>,<Null>,4300-JSS-116208
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,112626,29.98719007,40.02900022,112626,<Null>,<Null>,<Null>,4300-JSS-112626
Tabarjul Office مكتب خدمات طبرجل,<Null>,<Null>,659138,30.47440625,38.25910201,659138,<Null>,<Null>,<Null>,4300-JTS-659138
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,114264,30.00242175,40.22035932,114264,<Null>,<Null>,<Null>,4300-JSS-114264
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,112629,29.98887297,40.13425078,112629,<Null>,<Null>,<Null>,4300-JSS-112629
